date,sector,lm_sector_sentiment,ticker_coverage,headline_count,matched_headline_count,matched_token_count,token_count,universe_tickers,coverage_ratio,matched_headline_ratio,matched_token_ratio,lagged_source_date,lagged_lm_sector_sentiment,lagged_ticker_coverage,lagged_matched_token_ratio,signal_available
2020-01-02,Comm,0.0,4,11,0,0,97,5,0.8,0.0,0.0,,,,,False
2020-01-02,Consumer,-0.020310068471833177,5,22,4,4,203,5,1.0,0.18181818181818182,0.019704433497536946,,,,,False
2020-01-02,Energy,-0.0008207070707070708,5,21,4,4,225,5,1.0,0.19047619047619047,0.017777777777777778,,,,,False
2020-01-02,Financials,0.005185185185185187,5,12,4,5,88,5,1.0,0.3333333333333333,0.056818181818181816,,,,,False
2020-01-02,Healthcare,0.036309523809523805,5,23,7,7,270,5,1.0,0.30434782608695654,0.025925925925925925,,,,,False
2020-01-02,Industrials,0.02,5,13,1,1,96,5,1.0,0.07692307692307693,0.010416666666666666,,,,,False
2020-01-02,Materials,0.007407407407407407,3,7,2,2,62,5,0.6,0.2857142857142857,0.03225806451612903,,,,,False
2020-01-02,RealEstate,-0.03125,2,3,1,1,33,5,0.4,0.3333333333333333,0.030303030303030304,,,,,False
2020-01-02,Tech,0.004888588975127436,4,25,5,5,303,5,0.8,0.2,0.0165016501650165,,,,,False
2020-01-02,Utilities,0.14285714285714285,1,1,1,1,7,5,0.2,1.0,0.14285714285714285,,,,,False
2020-01-03,Comm,0.0,2,3,0,0,30,5,0.4,0.0,0.0,2020-01-02,0.0,4,0.0,True
2020-01-03,Consumer,-0.016666666666666666,4,10,1,1,93,5,0.8,0.1,0.010752688172043012,2020-01-02,-0.020310068471833177,5,0.019704433497536946,True
2020-01-03,Energy,-0.014892476892476894,5,28,8,8,322,5,1.0,0.2857142857142857,0.024844720496894408,2020-01-02,-0.0008207070707070708,5,0.017777777777777778,True
2020-01-03,Financials,-0.009259259259259259,3,8,1,1,87,5,0.6,0.125,0.011494252873563218,2020-01-02,0.005185185185185187,5,0.056818181818181816,True
2020-01-03,Healthcare,0.0,2,6,4,5,48,5,0.4,0.6666666666666666,0.10416666666666667,2020-01-02,0.036309523809523805,5,0.025925925925925925,True
2020-01-03,Industrials,-0.0375,4,7,3,3,77,5,0.8,0.42857142857142855,0.03896103896103896,2020-01-02,0.02,5,0.010416666666666666,True
2020-01-03,Materials,-0.00641025641025641,2,3,1,1,55,5,0.4,0.3333333333333333,0.01818181818181818,2020-01-02,0.007407407407407407,3,0.03225806451612903,True
2020-01-03,RealEstate,-0.012345679012345678,3,5,1,1,43,5,0.6,0.2,0.023255813953488372,2020-01-02,-0.03125,2,0.030303030303030304,True
2020-01-03,Tech,0.009615384615384616,4,17,3,3,151,5,0.8,0.17647058823529413,0.019867549668874173,2020-01-02,0.004888588975127436,4,0.0165016501650165,True
2020-01-03,Utilities,0.015151515151515152,2,4,1,1,32,5,0.4,0.25,0.03125,2020-01-02,0.14285714285714285,1,0.14285714285714285,True
2020-01-06,Comm,0.0014550264550264563,3,16,7,7,127,5,0.6,0.4375,0.05511811023622047,2020-01-03,0.0,2,0.0,True
2020-01-06,Consumer,0.0007090336134453785,5,44,13,13,392,5,1.0,0.29545454545454547,0.03316326530612245,2020-01-03,-0.016666666666666666,4,0.010752688172043012,True
