date,fund,fund_id,universe,method,weight_effective_date,portfolio_lagged_sentiment,total_equity_weight,observed_equity_weight,missing_equity_weight,sentiment_weight_coverage,observed_sector_count,missing_sector_count,latest_signal_source_date
2021-01-05,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-01-05,0.1230934555555555,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-01-04
2021-01-06,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-01-05,0.14247887499999998,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-01-05
2021-01-07,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-01-05,0.15625473258377423,0.8333333333333302,0.7499999999999971,0.08333333333333304,0.9,9,1,2021-01-06
2021-01-08,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-01-05,0.02871763174603173,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-01-07
2021-01-11,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-01-05,0.09814287817460314,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-01-08
2021-01-12,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-01-05,0.15047878493788816,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-01-11
2021-01-13,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-01-05,0.09223706249999998,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-01-12
2021-01-14,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-01-05,0.1364429023542882,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-01-13
2021-01-15,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-01-05,0.04144855753968253,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-01-14
2021-01-19,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-01-05,0.19131671578421575,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-01-15
2021-01-20,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-01-05,0.031909410302116144,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-01-19
2021-01-21,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-01-05,0.04512555742296916,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-01-20
2021-01-22,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-01-05,0.0076751388888888815,0.8333333333333302,0.7499999999999971,0.08333333333333304,0.9,9,1,2021-01-21
2021-01-25,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-01-05,0.12438187499999998,0.8333333333333302,0.7499999999999971,0.08333333333333304,0.9,9,1,2021-01-22
2021-01-26,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-01-05,0.13684378299755798,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-01-25
2021-01-27,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-01-05,0.10956909951963238,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-01-26
2021-01-28,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-01-05,0.15574751432022083,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-01-27
2021-01-29,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-01-05,0.11444031507936506,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-01-28
2021-02-01,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-01-05,0.04141888888888887,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-01-29
2021-02-02,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-02-02,0.1892450646103896,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-02-01
2021-02-03,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-02-02,0.14669841762258207,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-02-02
2021-02-04,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-02-02,0.10559326388888886,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-02-03
2021-02-05,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-02-02,0.10878558409491743,0.8333333333333302,0.7499999999999971,0.08333333333333304,0.9,9,1,2021-02-04
2021-02-08,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-02-02,0.09987224999999997,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-02-05
2021-02-09,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-02-02,0.12707351666666666,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-02-08
2021-02-10,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-02-02,0.10482654761904758,0.8333333333333302,0.8333333333333302,0.0,1.0,10,0,2021-02-09
2021-02-11,Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-02-02,0.05644282716049381,0.8333333333333302,0.7499999999999971,0.08333333333333304,0.9,9,1,2021-02-10
