sector,tickers,ticker_calendar_rows,observed_company_days,no_news_company_days,observed_company_day_ratio,genuine_zero_sentiment_days,total_headlines,mean_sentiment_observed_days
Comm,5,5030,3806,1224,0.7566600397614314,1071,11783,0.10032765024766621
Consumer,5,5030,4724,306,0.9391650099403579,685,25877,0.1003835681251244
Energy,5,5030,4246,784,0.8441351888667992,630,19365,0.11181533811495113
Financials,5,5030,4401,629,0.8749502982107356,796,18269,0.09677132466823678
Healthcare,5,5030,4204,826,0.8357852882703777,981,14697,0.10864780239792249
Industrials,5,5030,3782,1248,0.7518886679920477,933,13156,0.10621156092202234
Materials,5,5030,2672,2358,0.5312127236580517,1170,5393,0.09688199323695827
RealEstate,5,5030,2796,2234,0.5558648111332007,1023,5339,0.1346358854465158
Tech,5,5030,4349,681,0.8646123260437376,622,26632,0.11838193395682892
Utilities,5,5030,2982,2048,0.5928429423459245,813,6319,0.17613828630142148
