ticker,sector,start_date,end_date,trading_days,observed_news_days,no_news_days,observed_news_ratio,genuine_zero_sentiment_days,total_headlines,mean_headlines_observed_days,mean_sentiment_observed_days,sentiment_std_observed_days
CMCSA,Comm,2020-01-02,2023-12-29,1006,854,152,0.8489065606361829,208,2561,2.9988290398126463,0.08321893140085909,0.20345619420428301
EA,Comm,2020-01-02,2023-12-29,1006,664,342,0.6600397614314115,260,1519,2.2876506024096384,0.10494757374465394,0.21654423540517434
T,Comm,2020-01-02,2023-12-29,1006,969,37,0.963220675944334,108,4698,4.848297213622291,0.11913224852103732,0.16791496440148465
TMUS,Comm,2020-01-02,2023-12-29,1006,766,240,0.7614314115308151,248,1844,2.4073107049608353,0.1000155191322057,0.21113793498823555
TTWO,Comm,2020-01-02,2023-12-29,1006,553,453,0.5497017892644135,247,1161,2.0994575045207955,0.08868326218386798,0.21998118220067847
DIS,Consumer,2020-01-02,2023-12-29,1006,994,12,0.9880715705765407,42,8486,8.537223340040242,0.09499731737449373,0.12162509579962102
KO,Consumer,2020-01-02,2023-12-29,1006,910,96,0.904572564612326,170,3591,3.9461538461538463,0.13403271298297112,0.18935022313693073
NKE,Consumer,2020-01-02,2023-12-29,1006,906,100,0.9005964214711729,217,3244,3.5805739514348787,0.08858505067870129,0.1982893109182725
SBUX,Consumer,2020-01-02,2023-12-29,1006,928,78,0.9224652087475149,182,3543,3.8178879310344827,0.09225477117300489,0.18500514979050792
WMT,Consumer,2020-01-02,2023-12-29,1006,986,20,0.9801192842942346,74,7013,7.112576064908722,0.09324988841266255,0.12976815606202735
COP,Energy,2020-01-02,2023-12-29,1006,784,222,0.7793240556660039,173,2187,2.7895408163265305,0.12375594264897519,0.21981784004256025
CVX,Energy,2020-01-02,2023-12-29,1006,969,37,0.963220675944334,79,5664,5.845201238390093,0.11090214884495456,0.15966301291059687
OXY,Energy,2020-01-02,2023-12-29,1006,838,168,0.8330019880715706,166,3172,3.785202863961814,0.11606734059299878,0.2024596513072216
SLB,Energy,2020-01-02,2023-12-29,1006,686,320,0.6819085487077535,172,1834,2.673469387755102,0.11177378527322764,0.2117587480781767
XOM,Energy,2020-01-02,2023-12-29,1006,969,37,0.963220675944334,40,6508,6.716202270381837,0.09941985165547769,0.15479173805436638
GS,Financials,2020-01-02,2023-12-29,1006,968,38,0.9622266401590457,113,5437,5.616735537190083,0.053482415947054295,0.15710057899032862
MS,Financials,2020-01-02,2023-12-29,1006,921,85,0.915506958250497,148,3915,4.250814332247557,0.07044576226764677,0.19318835673139606
USB,Financials,2020-01-02,2023-12-29,1006,657,349,0.6530815109343936,237,1490,2.267884322678843,0.10211124259872546,0.2156164655356796
V,Financials,2020-01-02,2023-12-29,1006,929,77,0.9234592445328031,187,3460,3.7244348762109794,0.13475324861610355,0.1803554603487757
WFC,Financials,2020-01-02,2023-12-29,1006,926,80,0.9204771371769384,111,3967,4.284017278617711,0.12631341234118357,0.19645152966326476
ABBV,Healthcare,2020-01-02,2023-12-29,1006,889,117,0.8836978131212724,176,3057,3.438695163104612,0.1446976677345304,0.19057588044293877
ABT,Healthcare,2020-01-02,2023-12-29,1006,822,184,0.8170974155069582,215,2291,2.787104622871046,0.13645555209218996,0.21488762021448918
AMGN,Healthcare,2020-01-02,2023-12-29,1006,758,248,0.7534791252485089,238,2069,2.729551451187335,0.08622447730393017,0.21078874749696336
GILD,Healthcare,2020-01-02,2023-12-29,1006,828,178,0.8230616302186878,196,3613,4.363526570048309,0.10650344522937037,0.21659451364554172
MRK,Healthcare,2020-01-02,2023-12-29,1006,907,99,0.9015904572564613,156,3667,4.042998897464168,0.06880889128863368,0.20525577209728302
BA,Industrials,2020-01-02,2023-12-29,1006,543,463,0.5397614314115308,42,3869,7.125230202578269,0.04446294086787861,0.15081053211960724
CAT,Industrials,2020-01-02,2023-12-29,1006,749,257,0.7445328031809145,234,2178,2.9078771695594123,0.1195668184523416,0.22336890365600645
GE,Industrials,2020-01-02,2023-12-29,1006,881,125,0.8757455268389662,198,2759,3.1316685584562998,0.10760559109458731,0.20203349995378214
MMM,Industrials,2020-01-02,2023-12-29,1006,810,196,0.805168986083499,251,2256,2.785185185185185,0.0841061176911133,0.19805411183760077
UPS,Industrials,2020-01-02,2023-12-29,1006,799,207,0.794234592445328,208,2094,2.620775969962453,0.15652905933778893,0.20680816203713107
DD,Materials,2020-01-02,2023-12-29,1006,413,593,0.4105367793240557,192,859,2.079903147699758,0.08273817139929339,0.19775848440097357
DOW,Materials,2020-01-02,2023-12-29,1006,585,421,0.5815109343936382,285,1240,2.1196581196581197,0.06128998766048766,0.19409872130977002
NEM,Materials,2020-01-02,2023-12-29,1006,635,371,0.6312127236580517,250,1398,2.2015748031496063,0.1091217431931971,0.1996055083718367
NUE,Materials,2020-01-02,2023-12-29,1006,591,415,0.5874751491053678,220,1157,1.9576988155668358,0.13301759991747303,0.21624318809978926
SHW,Materials,2020-01-02,2023-12-29,1006,448,558,0.44532803180914515,223,739,1.6495535714285714,0.0913782809842687,0.19055500851011117
AMT,RealEstate,2020-01-02,2023-12-29,1006,634,372,0.6302186878727635,262,1222,1.9274447949526814,0.1132917875237276,0.207013209223964
CCI,RealEstate,2020-01-02,2023-12-29,1006,488,518,0.4850894632206759,205,876,1.7950819672131149,0.11297951017334215,0.2085585627845327
O,RealEstate,2020-01-02,2023-12-29,1006,713,293,0.7087475149105368,186,1555,2.1809256661991583,0.1580418158038004,0.23470535744406906
PLD,RealEstate,2020-01-02,2023-12-29,1006,528,478,0.5248508946322068,211,968,1.8333333333333333,0.13372100626803754,0.22325940750880807
PSA,RealEstate,2020-01-02,2023-12-29,1006,433,573,0.4304174950298211,159,718,1.6581986143187066,0.152869365995821,0.23525938073264382
ADBE,Tech,2020-01-02,2023-12-29,1006,840,166,0.8349900596421471,233,2663,3.170238095238095,0.12422966228495237,0.1963125716801558
AMD,Tech,2020-01-02,2023-12-29,1006,969,37,0.963220675944334,88,5829,6.015479876160991,0.13696757705700388,0.1582870938572877
