fund,fund_id,universe,method,effective_date,rank,ticker,asset_class,holding_group,weight
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,1,ADBE,equity,Tech,0.0999999999999998
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,2,GE,equity,Industrials,0.0999999999999998
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,3,INTC,equity,Tech,0.0999999999999998
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,4,NVDA,equity,Tech,0.0999999999999998
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,5,SO,equity,Utilities,0.0999999999999998
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,6,TTWO,equity,Comm,0.0999999999999998
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,7,V,equity,Financials,0.0999999999999998
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,8,WMT,equity,Consumer,0.0999999999999998
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,9,BA,equity,Industrials,0.0773881622847489
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,10,MRK,equity,Healthcare,0.0682508108085835
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,11,TMUS,equity,Comm,0.0499896397578919
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,12,CMCSA,equity,Comm,0.0043713871487755
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,13,ABBV,equity,Healthcare,3.963158857677964e-16
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,14,SLB,equity,Energy,1.3349608378767335e-16
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,15,DOW,equity,Materials,1.1035672596401286e-16
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,16,AMGN,equity,Healthcare,1.1031128357945534e-16
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,17,GILD,equity,Healthcare,9.712264240830523e-17
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,18,CAT,equity,Industrials,8.436895560130206e-17
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,19,DD,equity,Materials,8.215930840379045e-17
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,20,KO,equity,Consumer,7.13336609324991e-17
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,21,T,equity,Comm,3.375261728603673e-17
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,22,COP,equity,Energy,3.3805438868900927e-18
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,23,OXY,equity,Energy,2.69080705000182e-18
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,24,AEP,equity,Utilities,2.6589074633699653e-18
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,25,ABT,equity,Healthcare,0.0
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,26,AMD,equity,Tech,0.0
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,27,AMT,equity,RealEstate,0.0
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,28,CCI,equity,RealEstate,0.0
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,29,CVX,equity,Energy,0.0
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,30,D,equity,Utilities,0.0
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,31,DIS,equity,Consumer,0.0
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,32,DUK,equity,Utilities,0.0
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,33,EA,equity,Comm,0.0
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,34,GS,equity,Financials,0.0
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,35,MMM,equity,Industrials,0.0
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,36,MS,equity,Financials,0.0
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,37,NEE,equity,Utilities,0.0
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,38,NEM,equity,Materials,0.0
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,39,NKE,equity,Consumer,0.0
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,40,NUE,equity,Materials,0.0
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,41,O,equity,RealEstate,0.0
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,42,PLD,equity,RealEstate,0.0
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,43,PSA,equity,RealEstate,0.0
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,44,QCOM,equity,Tech,0.0
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,45,SBUX,equity,Consumer,0.0
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,46,SHW,equity,Materials,0.0
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,47,UPS,equity,Industrials,0.0
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,48,USB,equity,Financials,0.0
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,49,WFC,equity,Financials,0.0
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2023-12-04,50,XOM,equity,Energy,0.0
