fund,fund_id,universe,method,effective_date,rank,ticker,asset_class,holding_group,weight
Equity-Only Minimum Variance,equity_min_variance,Equity-only,min_variance,2023-12-04,1,KO,equity,Consumer,0.1879676833013247
Equity-Only Minimum Variance,equity_min_variance,Equity-only,min_variance,2023-12-04,2,WMT,equity,Consumer,0.1784356345948437
Equity-Only Minimum Variance,equity_min_variance,Equity-only,min_variance,2023-12-04,3,MRK,equity,Healthcare,0.1034983512354674
Equity-Only Minimum Variance,equity_min_variance,Equity-only,min_variance,2023-12-04,4,ABBV,equity,Healthcare,0.0878300744916326
Equity-Only Minimum Variance,equity_min_variance,Equity-only,min_variance,2023-12-04,5,O,equity,RealEstate,0.0845685529279909
Equity-Only Minimum Variance,equity_min_variance,Equity-only,min_variance,2023-12-04,6,V,equity,Financials,0.0775626873283667
Equity-Only Minimum Variance,equity_min_variance,Equity-only,min_variance,2023-12-04,7,TMUS,equity,Comm,0.0641118525950838
Equity-Only Minimum Variance,equity_min_variance,Equity-only,min_variance,2023-12-04,8,EA,equity,Comm,0.0423926144408921
Equity-Only Minimum Variance,equity_min_variance,Equity-only,min_variance,2023-12-04,9,T,equity,Comm,0.0362861355936476
Equity-Only Minimum Variance,equity_min_variance,Equity-only,min_variance,2023-12-04,10,OXY,equity,Energy,0.0277709755438048
Equity-Only Minimum Variance,equity_min_variance,Equity-only,min_variance,2023-12-04,11,CVX,equity,Energy,0.0251530103228403
Equity-Only Minimum Variance,equity_min_variance,Equity-only,min_variance,2023-12-04,12,ABT,equity,Healthcare,0.0197917131321994
Equity-Only Minimum Variance,equity_min_variance,Equity-only,min_variance,2023-12-04,13,NVDA,equity,Tech,0.0120618528058028
Equity-Only Minimum Variance,equity_min_variance,Equity-only,min_variance,2023-12-04,14,GE,equity,Industrials,0.0117236562355881
Equity-Only Minimum Variance,equity_min_variance,Equity-only,min_variance,2023-12-04,15,NEM,equity,Materials,0.0112457712259639
Equity-Only Minimum Variance,equity_min_variance,Equity-only,min_variance,2023-12-04,16,AMGN,equity,Healthcare,0.009960754010662
