fund,fund_id,universe,method,effective_date,rank,ticker,asset_class,holding_group,weight
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,1,ADBE,equity,Tech,0.0999999999999998
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,2,GE,equity,Industrials,0.0999999999999998
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,3,INTC,equity,Tech,0.0999999999999998
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,4,NVDA,equity,Tech,0.0999999999999998
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,5,SO,equity,Utilities,0.0999999999999998
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,6,TTWO,equity,Comm,0.0999999999999998
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,7,V,equity,Financials,0.0999999999999998
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,8,BTC-USD,crypto,Crypto,0.0999999999999998
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,9,BA,equity,Industrials,0.0534949838051556
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,10,BCH-USD,crypto,Crypto,0.0533434054329234
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,11,WMT,equity,Consumer,0.0383893852515624
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,12,MRK,equity,Healthcare,0.0352999098618611
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,13,TMUS,equity,Comm,0.0139753823392859
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,14,XRP-USD,crypto,Crypto,0.0033128803091305
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,15,ABBV,equity,Healthcare,0.002184053000081
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,16,AMT,equity,RealEstate,1.5162364366178767e-16
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,17,ETH-USD,crypto,Crypto,1.1452059485679002e-16
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,18,CCI,equity,RealEstate,1.069235048085816e-16
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,19,EOS-USD,crypto,Crypto,8.47269653258387e-17
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,20,COP,equity,Energy,6.693391338790786e-17
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,21,PLD,equity,RealEstate,5.797934046038232e-17
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,22,AMGN,equity,Healthcare,5.009212699757493e-17
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,23,XOM,equity,Energy,4.4872543145196837e-17
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,24,EA,equity,Comm,4.0049883045940257e-17
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,25,QCOM,equity,Tech,3.925893294421706e-17
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,26,XLM-USD,crypto,Crypto,3.900588707339517e-17
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,27,OXY,equity,Energy,3.3684222061980684e-17
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,28,DUK,equity,Utilities,3.332034524634777e-17
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,29,NKE,equity,Consumer,3.079403639393732e-17
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,30,MS,equity,Financials,2.9151401281194824e-17
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,31,D,equity,Utilities,2.3895052300224557e-17
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,32,O,equity,RealEstate,1.4126469537895338e-17
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,33,SLB,equity,Energy,1.171191609496325e-17
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,34,WFC,equity,Financials,5.0951494184704994e-18
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,35,PSA,equity,RealEstate,4.981805822216033e-18
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,36,NUE,equity,Materials,4.387314424696623e-18
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,37,SBUX,equity,Consumer,4.173490939846335e-18
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,38,T,equity,Comm,2.7893570553701787e-18
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,39,MMM,equity,Industrials,1.0167916565594568e-18
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,40,CVX,equity,Energy,6.414667895904885e-19
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,41,ABT,equity,Healthcare,0.0
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,42,AEP,equity,Utilities,0.0
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,43,AMD,equity,Tech,0.0
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,44,CAT,equity,Industrials,0.0
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,45,CMCSA,equity,Comm,0.0
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,46,DD,equity,Materials,0.0
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2023-12-04,47,DIS,equity,Consumer,0.0
