fund,fund_id,universe,method,effective_date,rank,ticker,asset_class,holding_group,weight
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,1,KO,equity,Consumer,0.1849015928340801
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,2,WMT,equity,Consumer,0.1705914947124109
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,3,MRK,equity,Healthcare,0.1021970638146653
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,4,ABBV,equity,Healthcare,0.0893243886835197
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,5,O,equity,RealEstate,0.0847646508636708
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,6,V,equity,Financials,0.0729099633425015
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,7,TMUS,equity,Comm,0.0653031673054282
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,8,EA,equity,Comm,0.0405549861182014
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,9,T,equity,Comm,0.0347442869928822
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,10,CVX,equity,Energy,0.0281966941758817
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,11,OXY,equity,Energy,0.0253920473263948
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,12,ABT,equity,Healthcare,0.0176427827201092
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,13,GE,equity,Industrials,0.013312004362761
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,14,TRX-USD,crypto,Crypto,0.0126462802304791
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,15,BTC-USD,crypto,Crypto,0.0120256680069975
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,16,NVDA,equity,Tech,0.0114465109560035
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,17,NEM,equity,Materials,0.0091197451746268
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,18,AMGN,equity,Healthcare,0.0088936060423848
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,19,AMD,equity,Tech,0.0074020839063337
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,20,DD,equity,Materials,0.0035731391766445
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,21,INTC,equity,Tech,0.0030038958661335
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,22,DUK,equity,Utilities,0.0020539473878884
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,23,MMM,equity,Industrials,4.227792272494847e-17
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,24,ETC-USD,crypto,Crypto,4.0477233568471827e-17
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,25,D,equity,Utilities,3.4356465162051123e-17
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,26,SHW,equity,Materials,2.9028796490171403e-17
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,27,CAT,equity,Industrials,2.9018778071134216e-17
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,28,USB,equity,Financials,2.7592201776021906e-17
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,29,GS,equity,Financials,2.7399786576506186e-17
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,30,DOW,equity,Materials,2.5881236145578948e-17
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,31,ADBE,equity,Tech,2.0677343312022076e-17
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,32,XOM,equity,Energy,8.978223300033321e-18
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,33,COP,equity,Energy,6.759395154744095e-18
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,34,AMT,equity,RealEstate,6.123910452116303e-18
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,35,QCOM,equity,Tech,5.196484535555645e-18
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,36,CCI,equity,RealEstate,3.678079471330983e-18
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,37,LTC-USD,crypto,Crypto,3.517046740368797e-18
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,38,BA,equity,Industrials,2.967961200304082e-18
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,39,ETH-USD,crypto,Crypto,1.7019702041835997e-18
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,40,MS,equity,Financials,1.1064733868204185e-18
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,41,AEP,equity,Utilities,0.0
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,42,CMCSA,equity,Comm,0.0
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,43,DIS,equity,Consumer,0.0
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,44,GILD,equity,Healthcare,0.0
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,45,NEE,equity,Utilities,0.0
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,46,NKE,equity,Consumer,0.0
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,47,NUE,equity,Materials,0.0
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,48,PLD,equity,RealEstate,0.0
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,49,PSA,equity,RealEstate,0.0
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,50,SBUX,equity,Consumer,0.0
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,51,SLB,equity,Energy,0.0
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,52,SO,equity,Utilities,0.0
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,53,TTWO,equity,Comm,0.0
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,54,UPS,equity,Industrials,0.0
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,55,WFC,equity,Financials,0.0
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,56,ADA-USD,crypto,Crypto,0.0
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,57,BCH-USD,crypto,Crypto,0.0
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,58,EOS-USD,crypto,Crypto,0.0
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,59,XLM-USD,crypto,Crypto,0.0
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2023-12-04,60,XRP-USD,crypto,Crypto,0.0
