fund,fund_id,universe,method,effective_date,rank,ticker,asset_class,holding_group,weight
Sentiment-Tilted Equal Weight,combined_sentiment_tilt,Combined,sentiment_tilt,2023-12-04,1,AEP,equity,Utilities,0.0181244982531321
Sentiment-Tilted Equal Weight,combined_sentiment_tilt,Combined,sentiment_tilt,2023-12-04,2,D,equity,Utilities,0.0181244982531321
Sentiment-Tilted Equal Weight,combined_sentiment_tilt,Combined,sentiment_tilt,2023-12-04,3,DUK,equity,Utilities,0.0181244982531321
Sentiment-Tilted Equal Weight,combined_sentiment_tilt,Combined,sentiment_tilt,2023-12-04,4,NEE,equity,Utilities,0.0181244982531321
Sentiment-Tilted Equal Weight,combined_sentiment_tilt,Combined,sentiment_tilt,2023-12-04,5,SO,equity,Utilities,0.0181244982531321
Sentiment-Tilted Equal Weight,combined_sentiment_tilt,Combined,sentiment_tilt,2023-12-04,6,DIS,equity,Consumer,0.0174416058207628
Sentiment-Tilted Equal Weight,combined_sentiment_tilt,Combined,sentiment_tilt,2023-12-04,7,KO,equity,Consumer,0.0174416058207628
Sentiment-Tilted Equal Weight,combined_sentiment_tilt,Combined,sentiment_tilt,2023-12-04,8,NKE,equity,Consumer,0.0174416058207628
Sentiment-Tilted Equal Weight,combined_sentiment_tilt,Combined,sentiment_tilt,2023-12-04,9,SBUX,equity,Consumer,0.0174416058207628
Sentiment-Tilted Equal Weight,combined_sentiment_tilt,Combined,sentiment_tilt,2023-12-04,10,WMT,equity,Consumer,0.0174416058207628
Sentiment-Tilted Equal Weight,combined_sentiment_tilt,Combined,sentiment_tilt,2023-12-04,11,DD,equity,Materials,0.0171826711252985
Sentiment-Tilted Equal Weight,combined_sentiment_tilt,Combined,sentiment_tilt,2023-12-04,12,DOW,equity,Materials,0.0171826711252985
Sentiment-Tilted Equal Weight,combined_sentiment_tilt,Combined,sentiment_tilt,2023-12-04,13,NEM,equity,Materials,0.0171826711252985
Sentiment-Tilted Equal Weight,combined_sentiment_tilt,Combined,sentiment_tilt,2023-12-04,14,NUE,equity,Materials,0.0171826711252985
Sentiment-Tilted Equal Weight,combined_sentiment_tilt,Combined,sentiment_tilt,2023-12-04,15,SHW,equity,Materials,0.0171826711252985
Sentiment-Tilted Equal Weight,combined_sentiment_tilt,Combined,sentiment_tilt,2023-12-04,16,CMCSA,equity,Comm,0.0168117288740193
Sentiment-Tilted Equal Weight,combined_sentiment_tilt,Combined,sentiment_tilt,2023-12-04,17,EA,equity,Comm,0.0168117288740193
Sentiment-Tilted Equal Weight,combined_sentiment_tilt,Combined,sentiment_tilt,2023-12-04,18,T,equity,Comm,0.0168117288740193
