fund,fund_id,universe,method,start_date,end_date,observations,annualized_return,annualized_volatility,sharpe_ratio,maximum_drawdown,growth_of_1,estimation_window,rebalance_frequency,rebalance_convention,constraints,transaction_costs,risk_free_rate,tilt_strength,missing_signal_policy
Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-01-05,2023-12-29,752,0.154661034319248,0.2146029033563558,0.7777454418474012,-0.2773841419836084,1.5359327087549932,252,monthly,first trading day; effective next trading day,long-only; fully invested,0.0,0.0,,
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2021-01-05,2023-12-29,752,0.1732897671186848,0.2183440631631726,0.8406244430675592,-0.1943723562309844,1.6110691360767675,252,monthly,first trading day; effective next trading day,long-only; fully invested; maximum 10% per asset,0.0,0.0,,
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2021-01-05,2023-12-29,752,0.0542580008411819,0.1276759528844334,0.477679604535796,-0.1507407691733651,1.1707831952140104,252,monthly,first trading day; effective next trading day,long-only; fully invested,0.0,0.0,,
Crypto-Only Equal Weight,crypto_equal_weight,Crypto-only,equal_weight,2021-01-02,2023-12-31,1094,0.3711480254537045,0.8173842427126009,0.7991022324121964,-0.8172042252915966,2.5755942936029066,365,monthly,first trading day; effective next trading day,long-only; fully invested,0.0,0.0,,
Crypto-Only Maximum Sharpe,crypto_max_sharpe,Crypto-only,max_sharpe,2021-01-02,2023-12-31,1094,0.3711480254537045,0.8173842427126009,0.7991022324121964,-0.8172042252915966,2.5755942936029066,365,monthly,first trading day; effective next trading day,long-only; fully invested; maximum 10% per asset,0.0,0.0,,
Crypto-Only Minimum Variance,crypto_min_variance,Crypto-only,min_variance,2021-01-02,2023-12-31,1094,0.2854259121588078,0.6470704113219512,0.7125363076925737,-0.760431592954405,2.122474064105406,365,monthly,first trading day; effective next trading day,long-only; fully invested,0.0,0.0,,
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2021-01-05,2023-12-29,752,0.1329335792602191,0.1610829103849029,0.8554775848296827,-0.2019304560395698,1.4512858446480263,252,monthly,first trading day; effective next trading day,long-only; fully invested,0.0,0.0,,
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2021-01-05,2023-12-29,752,0.1081403339141049,0.1664071439951729,0.7004478395873156,-0.1923154393963864,1.3585525258906528,252,monthly,first trading day; effective next trading day,long-only; fully invested; maximum 10% per asset,0.0,0.0,,
Equity-Only Minimum Variance,equity_min_variance,Equity-only,min_variance,2021-01-05,2023-12-29,752,0.0535554890940013,0.1274034372209722,0.4731925778273775,-0.149461719994861,1.1684566401546568,252,monthly,first trading day; effective next trading day,long-only; fully invested,0.0,0.0,,
Sentiment-Tilted Equal Weight,combined_sentiment_tilt,Combined,sentiment_tilt,2021-01-05,2023-12-29,752,0.1520674200854668,0.2143073149492309,0.7680262574730791,-0.2756544901845205,1.525660301736323,252,monthly,first trading day; effective next trading day,long-only; fully invested; crypto targets unchanged; equity sleeve conserved,0.0,0.0,0.5,multiplier one; retain missing value
