fund,fund_id,universe,method,start_date,end_date,annualized_return_pct,annualized_volatility_pct,sharpe_ratio,maximum_drawdown_pct,growth_of_1_usd
Combined Equal Weight,combined_equal_weight,Combined,equal_weight,2021-01-05,2023-12-29,15.466103431924799,21.46029033563558,0.7777454418474012,-27.73841419836084,1.5359327087549932
Combined Maximum Sharpe,combined_max_sharpe,Combined,max_sharpe,2021-01-05,2023-12-29,17.328976711868478,21.83440631631726,0.8406244430675592,-19.437235623098438,1.6110691360767675
Combined Minimum Variance,combined_min_variance,Combined,min_variance,2021-01-05,2023-12-29,5.42580008411819,12.76759528844334,0.477679604535796,-15.074076917336509,1.1707831952140104
Crypto-Only Equal Weight,crypto_equal_weight,Crypto-only,equal_weight,2021-01-02,2023-12-31,37.11480254537045,81.73842427126009,0.7991022324121964,-81.72042252915966,2.5755942936029066
Crypto-Only Maximum Sharpe,crypto_max_sharpe,Crypto-only,max_sharpe,2021-01-02,2023-12-31,37.11480254537045,81.73842427126009,0.7991022324121964,-81.72042252915966,2.5755942936029066
Crypto-Only Minimum Variance,crypto_min_variance,Crypto-only,min_variance,2021-01-02,2023-12-31,28.54259121588078,64.70704113219512,0.7125363076925737,-76.0431592954405,2.122474064105406
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2021-01-05,2023-12-29,13.293357926021908,16.10829103849029,0.8554775848296827,-20.19304560395698,1.4512858446480263
Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,max_sharpe,2021-01-05,2023-12-29,10.81403339141049,16.64071439951729,0.7004478395873156,-19.23154393963864,1.3585525258906528
Equity-Only Minimum Variance,equity_min_variance,Equity-only,min_variance,2021-01-05,2023-12-29,5.35554890940013,12.740343722097219,0.4731925778273775,-14.946171999486099,1.1684566401546568
Sentiment-Tilted Equal Weight,combined_sentiment_tilt,Combined,sentiment_tilt,2021-01-05,2023-12-29,15.20674200854668,21.430731494923087,0.7680262574730791,-27.56544901845205,1.525660301736323
