sector,headline_count,matched_headline_count,matched_headline_ratio,token_count,matched_token_count,matched_token_ratio,company_calendar_rows,observed_company_days,company_news_coverage_ratio,trading_days,observed_sector_days,sector_news_coverage_ratio
Comm,11783,2977,0.2526521259441568,107392,3405,0.031706272348033374,5030,3806,0.7566600397614314,1006,997,0.9910536779324056
Consumer,25877,6886,0.26610503535958574,233812,8058,0.03446358612902674,5030,4724,0.9391650099403579,1006,998,0.9920477137176938
Energy,19365,5272,0.27224373870384716,187067,6281,0.03357620531681162,5030,4246,0.8441351888667992,1006,996,0.9900596421471173
Financials,18269,4969,0.2719908040943675,176046,6080,0.03453642797905093,5030,4401,0.8749502982107356,1006,998,0.9920477137176938
Healthcare,14697,3692,0.25120772946859904,139540,4284,0.03070087430127562,5030,4204,0.8357852882703777,1006,997,0.9910536779324056
Industrials,13156,3596,0.27333536029188205,121636,4338,0.03566378374823243,5030,3782,0.7518886679920477,1006,998,0.9920477137176938
Materials,5393,1165,0.2160207676617838,50010,1392,0.027834433113377324,5030,2672,0.5312127236580517,1006,940,0.9343936381709742
RealEstate,5339,1205,0.22569769619778984,49441,1381,0.027932282923080035,5030,2796,0.5558648111332007,1006,940,0.9343936381709742
Tech,26632,7189,0.2699384199459297,251583,8498,0.03377811696338783,5030,4349,0.8646123260437376,1006,1006,1.0
Utilities,6319,1396,0.22092103180883052,58319,1637,0.02806975428248084,5030,2982,0.5928429423459245,1006,962,0.9562624254473161
