annualized_return,annualized_volatility,sharpe_ratio,maximum_drawdown,growth_of_1,observations,start_date,end_date,periods_per_year,method,estimation_window,rebalance_frequency,rebalance_convention,constraints,maximum_weight,transaction_costs,risk_free_rate,fund,fund_id,universe,tilt_strength,missing_signal_policy
0.15466103431924805,0.21460290335635582,0.7777454418474012,-0.2773841419836084,1.5359327087549932,752,2021-01-05,2023-12-29,252,equal_weight,252,monthly,first trading day; effective next trading day,long-only; fully invested,1.0,0.0,0.0,Combined Equal Weight,combined_equal_weight,Combined,,
0.05425800084118193,0.12767595288443342,0.47767960453579605,-0.1507407691733651,1.1707831952140104,752,2021-01-05,2023-12-29,252,min_variance,252,monthly,first trading day; effective next trading day,long-only; fully invested,1.0,0.0,0.0,Combined Minimum Variance,combined_min_variance,Combined,,
0.17328976711868482,0.21834406316317267,0.8406244430675592,-0.19437235623098448,1.6110691360767677,752,2021-01-05,2023-12-29,252,max_sharpe,252,monthly,first trading day; effective next trading day,long-only; fully invested; maximum 10% per asset,0.1,0.0,0.0,Combined Maximum Sharpe,combined_max_sharpe,Combined,,
0.1520674200854668,0.2143073149492309,0.7680262574730791,-0.2756544901845205,1.525660301736323,752,2021-01-05,2023-12-29,252,sentiment_tilt,252,monthly,first trading day; effective next trading day,long-only; fully invested; crypto targets unchanged; equity sleeve conserved,,0.0,0.0,Sentiment-Tilted Equal Weight,combined_sentiment_tilt,Combined,0.5,multiplier one; retain missing value
0.1329335792602191,0.1610829103849029,0.8554775848296827,-0.20193045603956983,1.4512858446480263,752,2021-01-05,2023-12-29,252,equal_weight,252,monthly,first trading day; effective next trading day,long-only; fully invested,1.0,0.0,0.0,Equity-Only Equal Weight,equity_equal_weight,Equity-only,,
0.05355548909400132,0.12740343722097228,0.4731925778273775,-0.14946171999486102,1.1684566401546568,752,2021-01-05,2023-12-29,252,min_variance,252,monthly,first trading day; effective next trading day,long-only; fully invested,1.0,0.0,0.0,Equity-Only Minimum Variance,equity_min_variance,Equity-only,,
0.10814033391410494,0.16640714399517298,0.7004478395873156,-0.1923154393963864,1.3585525258906528,752,2021-01-05,2023-12-29,252,max_sharpe,252,monthly,first trading day; effective next trading day,long-only; fully invested; maximum 10% per asset,0.1,0.0,0.0,Equity-Only Maximum Sharpe,equity_max_sharpe,Equity-only,,
0.3711480254537045,0.8173842427126009,0.7991022324121964,-0.8172042252915966,2.5755942936029066,1094,2021-01-02,2023-12-31,365,equal_weight,365,monthly,first trading day; effective next trading day,long-only; fully invested,1.0,0.0,0.0,Crypto-Only Equal Weight,crypto_equal_weight,Crypto-only,,
0.28542591215880786,0.6470704113219512,0.7125363076925737,-0.760431592954405,2.122474064105406,1094,2021-01-02,2023-12-31,365,min_variance,365,monthly,first trading day; effective next trading day,long-only; fully invested,1.0,0.0,0.0,Crypto-Only Minimum Variance,crypto_min_variance,Crypto-only,,
0.3711480254537045,0.8173842427126009,0.7991022324121964,-0.8172042252915966,2.5755942936029066,1094,2021-01-02,2023-12-31,365,max_sharpe,365,monthly,first trading day; effective next trading day,long-only; fully invested; maximum 10% per asset,0.1,0.0,0.0,Crypto-Only Maximum Sharpe,crypto_max_sharpe,Crypto-only,,
