sector,common_observed_days,pearson_correlation,spearman_correlation,classification_agreement_ratio,classification_disagreement_ratio,opposite_sign_ratio,mean_absolute_score_difference
Comm,997,0.48955627599036017,0.48490938681982737,0.5255767301905717,0.4744232698094283,0.275827482447342,0.1158135359673922
Consumer,998,0.5449654480950601,0.5345119731340038,0.5420841683366734,0.45791583166332667,0.3587174348697395,0.10179518233151082
Energy,996,0.5428321228932906,0.5258768804205702,0.5391566265060241,0.4608433734939759,0.2901606425702811,0.12489441739766306
Financials,998,0.5355904170081816,0.5062828781123462,0.47695390781563124,0.5230460921843687,0.36472945891783565,0.11320064028781907
Healthcare,997,0.4777411338011327,0.45696048364193964,0.5566700100300903,0.44332998996990974,0.26178535606820463,0.12111156129494001
Industrials,998,0.5098812719892024,0.4991086748135315,0.49899799599198397,0.501002004008016,0.31162324649298595,0.11733117902032703
Materials,940,0.4657538250546938,0.42520379705465755,0.5446808510638298,0.4553191489361702,0.15425531914893617,0.11556965711597735
RealEstate,940,0.5564597470446784,0.5272833977101192,0.6095744680851064,0.3904255319148936,0.10851063829787234,0.1400217674698216
Tech,1006,0.543452878467522,0.5122142179140042,0.6033797216699801,0.3966202783300199,0.27236580516898606,0.12308270624166595
Utilities,962,0.4538472704491628,0.3860926670154789,0.4677754677754678,0.5322245322245323,0.20374220374220375,0.1888370580656927
