sector,trading_days,observed_sentiment_days,no_news_days,observed_day_ratio,mean_ticker_coverage,mean_coverage_ratio,mean_sentiment_observed_days,sentiment_std_observed_days,total_headlines
Comm,1006,997,9,0.9910536779324056,3.783300198807157,0.7566600397614315,0.1007604469514701,0.11938328212085855,11783
Consumer,1006,998,8,0.9920477137176938,4.6958250497017895,0.9391650099403579,0.10107306186841346,0.08076507272752974,25877
Energy,1006,996,10,0.9900596421471173,4.220675944333996,0.8441351888667993,0.11128942392137493,0.11669266966251386,19365
Financials,1006,998,8,0.9920477137176938,4.3747514910536776,0.8749502982107357,0.09793778840476185,0.10865229809892345,18269
Healthcare,1006,997,9,0.9910536779324056,4.178926441351889,0.8357852882703777,0.11005049224343062,0.11939605194714073,14697
Industrials,1006,998,8,0.9920477137176938,3.7594433399602387,0.7518886679920477,0.10709666790126272,0.1096898836352139,13156
Materials,1006,940,66,0.9343936381709742,2.6560636182902586,0.5312127236580517,0.09645334285665402,0.14121165285732673,5393
RealEstate,1006,940,66,0.9343936381709742,2.779324055666004,0.5558648111332009,0.1331334334085389,0.15771182972935588,5339
Tech,1006,1006,0,1.0,4.323061630218688,0.8646123260437377,0.1193402475685077,0.1064040113524036,26632
Utilities,1006,962,44,0.9562624254473161,2.9642147117296225,0.5928429423459245,0.18427499011546175,0.16016819998628284,6319
